Date,p_up_gold
2016-09-13,0.6282207649638105
2016-09-14,0.6714846511554184
2016-09-15,0.6675359908187097
2016-09-16,0.6258357284496144
2016-09-19,0.6675359908187097
2016-09-20,0.6438965142647566
2016-09-21,0.6613108108337825
2016-09-22,0.6319435145259021
2016-09-23,0.6145296262105229
2016-09-26,0.6419324813098634
2016-09-27,0.6431748689559929
2016-09-28,0.6235988040111711
2016-09-29,0.6141959660468231
2016-09-30,0.5864726388042172
2016-10-03,0.6178537953204104
2016-10-04,0.618800500568267
2016-10-05,0.6283556446820783
2016-10-06,0.6316567266026534
2016-10-07,0.6647222087548977
2016-10-11,0.6677796708127826
2016-10-12,0.6662470241464188
2016-10-13,0.6471773497186419
2016-10-14,0.6217347895775298
2016-10-17,0.6001029766599996
2016-10-18,0.5925413831470173
2016-10-19,0.5591348231747298
2016-10-20,0.5192552300966884
2016-10-21,0.58945496448471
2016-10-24,0.5773754954411202
2016-10-25,0.5696859751550656
2016-10-26,0.543716834199501
2016-10-27,0.5727581973761533
2016-10-28,0.5836478494399884
2016-10-31,0.529199957408184
2016-11-01,0.6633175746812031
2016-11-02,0.5721535306798101
2016-11-03,0.5452654857789853
2016-11-04,0.6094637896865176
2016-11-07,0.5328732450878209
2016-11-08,0.5244107280517009
2016-11-09,0.5244107280517009
2016-11-10,0.5127563334952115
2016-11-14,0.5542700497600662
2016-11-15,0.5674789760635782
2016-11-16,0.5829132590895372
2016-11-17,0.5997438117902195
2016-11-18,0.5872495049525301
2016-11-21,0.5995280351184005
2016-11-22,0.605953493461452
2016-11-23,0.6282888166457219
2016-11-25,0.6563260967358137
2016-11-28,0.6704288860650157
2016-11-29,0.6910088570227424
2016-11-30,0.711101620108683
2016-12-01,0.7162722988083953
2016-12-02,0.710880434652861
2016-12-05,0.7141684335457679
2016-12-06,0.7141684335457679
2016-12-07,0.7233747414905503
2016-12-08,0.7233747414905503
2016-12-09,0.7266627403834571
2016-12-12,0.726446963711638
2016-12-13,0.6992260400963717
2016-12-14,0.6777303210322959
2016-12-15,0.693512626762892
2016-12-16,0.6810183199252028
2016-12-19,0.712559951054255
2016-12-20,0.693512626762892
2016-12-21,0.693512626762892
2016-12-22,0.6902246278699852
2016-12-23,0.6464850803892332
2016-12-27,0.6339907735515439
2016-12-28,0.5311359351523398
2016-12-29,0.4363150033125976
2016-12-30,0.43869759402832964
2017-01-03,0.4353767143964021
2017-01-04,0.4045952450972564
2017-01-05,0.4377396978409826
2017-01-06,0.41034712676587154
2017-01-09,0.5379814224068802
2017-01-10,0.5205827765349926
2017-01-11,0.4571605367406317
2017-01-12,0.46525478659798447
2017-01-13,0.5023772530595683
2017-01-17,0.35464005574296376
2017-01-18,0.369995227336385
2017-01-19,0.3830085374361041
2017-01-20,0.41284753451983114
2017-01-23,0.4193407652211931
2017-01-24,0.3960910093898851
2017-01-25,0.4850749542686632
2017-01-26,0.4988827628093828
2017-01-27,0.49953423600080527
2017-01-30,0.49053873297352835
2017-01-31,0.3812646251777648
2017-02-01,0.3763407198410781
2017-02-02,0.6560852830380258
2017-02-03,0.6309235071683769
2017-02-06,0.6853394580389757
2017-02-07,0.7141565699069877
2017-02-08,0.71048285136053
2017-02-09,0.7126293198986807
2017-02-10,0.717697585992709
2017-02-13,0.7159151162323939
2017-02-14,0.7030307345423441
