p_up_entry,p_up_exit,cooldown,trail_pct,max_hold,valid_n_trades,valid_total_return,valid_win_rate,valid_sharpe,valid_max_dd,test_n_trades,test_total_return,test_win_rate,test_sharpe,test_max_dd,forward_n_trades,forward_total_return,forward_win_rate,forward_sharpe,forward_max_dd,score
0.51,0.47,15,0.08,30,4,-0.0799,0.25,-1.557,-0.0799,8,0.03,0.5,0.331,-0.0913,14,0.695,0.7143,2.411,-0.0547,0.055279125
0.52,0.45,15,0.08,30,3,-0.1378,0.3333,-2.467,-0.1378,7,0.0142,0.2857,0.193,-0.0995,12,0.7317,0.75,1.913,-0.0785,0.05526675000000001
0.53,0.47,15,0.06,30,4,-0.0937,0.5,-1.591,-0.0937,5,0.07,0.4,0.698,-0.0504,11,0.6732,0.7273,1.992,-0.059,0.054561375
0.49,0.47,15,0.06,30,4,-0.1087,0.5,-2.151,-0.1087,10,0.1048,0.5,0.872,-0.0771,16,0.331,0.625,1.364,-0.0813,0.05429325
0.52,0.4,9,0.07,30,0,0.0,0.0,0.0,0.0,7,-0.0427,0.2857,-0.599,-0.0597,5,0.2377,0.6,0.927,-0.0683,0.0540875
0.52,0.4,12,0.07,30,0,0.0,0.0,0.0,0.0,7,-0.0427,0.2857,-0.599,-0.0597,5,0.2377,0.6,0.927,-0.0683,0.0540875
0.53,0.4,15,0.07,30,0,0.0,0.0,0.0,0.0,4,-0.0428,0.25,-1.485,-0.0504,5,0.2377,0.6,0.927,-0.0683,0.054075
0.49,0.43,12,0.06,30,0,0.0,0.0,0.0,0.0,9,0.1241,0.4444,0.942,-0.0632,11,0.1537,0.3636,0.645,-0.0756,0.0539375
0.53,0.47,15,0.07,30,4,-0.0645,0.5,-1.126,-0.0751,5,0.07,0.4,0.698,-0.0504,11,0.651,0.7273,1.906,-0.0683,0.053934375000000014
0.55,0.4,6,0.06,30,0,0.0,0.0,0.0,0.0,4,-0.0378,0.25,-1.473,-0.0455,6,0.2337,0.5,0.908,-0.0651,0.0537
0.53,0.45,12,0.08,30,3,-0.1378,0.3333,-2.467,-0.1378,6,0.1799,0.5,1.395,-0.0423,11,0.6297,0.7273,1.748,-0.0785,0.05368687500000001
0.53,0.45,9,0.08,30,3,-0.1378,0.3333,-2.467,-0.1378,6,0.1799,0.5,1.395,-0.0423,11,0.6297,0.7273,1.748,-0.0785,0.05368687500000001
0.53,0.47,15,0.08,30,4,-0.0645,0.5,-1.126,-0.0751,5,0.07,0.4,0.698,-0.0504,11,0.6385,0.7273,1.845,-0.0785,0.052903125
0.49,0.47,9,0.08,30,4,-0.167,0.25,-2.716,-0.167,10,0.1617,0.6,1.165,-0.0815,20,0.6401,0.6,1.591,-0.1734,0.052589625
0.55,0.4,12,0.07,30,0,0.0,0.0,0.0,0.0,4,-0.0378,0.25,-1.473,-0.0455,5,0.2285,0.6,0.879,-0.0752,0.0524
0.55,0.4,9,0.07,30,0,0.0,0.0,0.0,0.0,4,-0.0378,0.25,-1.473,-0.0455,5,0.2285,0.6,0.879,-0.0752,0.0524
0.55,0.4,15,0.07,30,0,0.0,0.0,0.0,0.0,4,-0.0378,0.25,-1.473,-0.0455,5,0.2285,0.6,0.879,-0.0752,0.0524
0.53,0.43,6,0.06,30,0,0.0,0.0,0.0,0.0,6,0.0452,0.3333,0.455,-0.0859,8,0.1861,0.5,0.741,-0.0994,0.052175
0.51,0.45,15,0.08,30,3,-0.152,0.0,-3.363,-0.152,8,0.0337,0.375,0.352,-0.0714,14,0.6859,0.7143,2.231,-0.0547,0.051706875000000006
0.49,0.47,12,0.08,30,4,-0.1508,0.25,-2.761,-0.1508,10,0.1849,0.6,1.347,-0.0632,18,0.6067,0.6111,1.802,-0.1356,0.05145937500000001
0.53,0.43,15,0.07,30,0,0.0,0.0,0.0,0.0,5,0.0858,0.4,0.834,-0.0504,7,0.1575,0.4286,0.632,-0.1179,0.0501
0.55,0.4,6,0.07,30,0,0.0,0.0,0.0,0.0,4,-0.0378,0.25,-1.473,-0.0455,6,0.2162,0.5,0.836,-0.0752,0.049325
0.53,0.45,15,0.08,30,3,-0.1378,0.3333,-2.467,-0.1378,5,0.07,0.4,0.698,-0.0504,11,0.6297,0.7273,1.748,-0.0785,0.04915350000000002
0.51,0.45,12,0.08,30,3,-0.152,0.0,-3.363,-0.152,8,0.0963,0.375,0.737,-0.0598,14,0.6236,0.7143,1.792,-0.0851,0.04914937500000001
0.51,0.4,12,0.08,30,0,0.0,0.0,0.0,0.0,7,0.0779,0.2857,0.548,-0.0598,6,0.1573,0.5,0.712,-0.0409,0.049062499999999995
0.53,0.45,6,0.08,30,3,-0.1378,0.3333,-2.467,-0.1378,6,0.03,0.3333,0.329,-0.0859,12,0.6301,0.75,1.728,-0.0785,0.04753650000000001
0.51,0.4,9,0.08,30,0,0.0,0.0,0.0,0.0,7,0.0779,0.2857,0.548,-0.0598,7,0.151,0.4286,0.691,-0.0425,0.0474875
0.52,0.47,15,0.06,30,4,-0.0937,0.5,-1.591,-0.0937,7,0.0413,0.4286,0.42,-0.0995,12,0.5966,0.6667,1.71,-0.0648,0.047058
0.52,0.43,9,0.07,30,0,0.0,0.0,0.0,0.0,8,0.1501,0.375,1.048,-0.0597,8,0.1129,0.375,0.483,-0.1179,0.0469875
0.52,0.43,12,0.07,30,0,0.0,0.0,0.0,0.0,8,0.1501,0.375,1.048,-0.0597,8,0.1129,0.375,0.483,-0.1179,0.0469875
