p_up_entry,p_up_exit,cooldown,trail_pct,max_hold,score,n_positive,median_return,mean_return,worst_year,best_year,no_trade_years
0.58,0.4,15,0.12,30,0.0376,3,-0.0442,-0.0394,-0.1719,0.1149,0
0.58,0.35,10,0.12,30,0.0372,3,-0.0413,-0.0352,-0.1801,0.0975,0
0.62,0.42,10,0.12,45,0.037,3,-0.038,0.0026,-0.1868,0.2786,0
0.52,0.4,20,0.12,30,0.0366,3,-0.057,-0.0169,-0.1617,0.1789,0
0.58,0.4,20,0.12,45,0.0364,3,-0.0708,-0.0152,-0.1433,0.2376,0
0.62,0.42,15,0.12,45,0.0363,3,-0.038,0.0041,-0.193,0.275,0
0.52,0.42,10,0.12,45,0.0351,3,-0.0538,-0.0282,-0.1798,0.1086,0
0.48,0.3,10,0.12,30,0.0347,2,-0.0219,0.0068,-0.0319,0.1244,0
0.52,0.4,20,0.12,45,0.0344,3,-0.0751,-0.0306,-0.1543,0.1624,0
0.58,0.4,10,0.12,30,0.0343,3,-0.059,-0.0417,-0.1798,0.1149,0
0.52,0.4,10,0.12,30,0.0342,3,-0.0734,-0.0596,-0.1585,0.0389,0
0.52,0.4,20,0.1,30,0.034,3,-0.0558,-0.0206,-0.187,0.1789,0
0.48,0.3,10,0.07,45,0.0329,3,-0.0556,-0.0546,-0.1973,0.1216,0
0.48,0.4,10,0.12,45,0.0329,3,-0.0636,-0.0341,-0.185,0.1578,0
0.52,0.4,15,0.12,30,0.0325,3,-0.0591,-0.0441,-0.1954,0.1003,0
0.58,0.42,25,0.1,45,0.0308,3,-0.0783,-0.0372,-0.1814,0.2653,0
0.58,0.42,15,0.12,45,0.0298,3,-0.0765,-0.0301,-0.193,0.1519,0
0.55,0.42,25,0.1,45,0.0289,3,-0.0897,-0.0435,-0.1814,0.204,0
0.62,0.4,25,0.12,30,0.0249,2,-0.0261,-0.019,-0.0953,0.0708,0
0.62,0.42,15,0.1,45,0.0249,3,-0.0126,0.0103,-0.2014,0.275,0
0.58,0.35,20,0.1,30,0.0246,3,-0.0155,-0.0292,-0.2421,0.1385,0
0.62,0.42,15,0.1,30,0.0245,3,-0.0157,-0.0166,-0.2014,0.1426,0
0.62,0.42,20,0.1,30,0.0244,3,-0.0174,-0.0256,-0.2905,0.109,0
0.62,0.42,20,0.12,30,0.0244,3,-0.0174,-0.0295,-0.2737,0.109,0
0.62,0.4,10,0.07,30,0.0243,3,-0.0176,-0.0143,-0.2318,0.1257,0
0.62,0.4,10,0.07,45,0.0243,3,-0.0176,-0.0088,-0.2318,0.2251,0
0.62,0.42,10,0.07,30,0.0243,3,-0.0176,-0.0304,-0.2214,0.0727,0
0.62,0.42,10,0.07,45,0.0243,3,-0.0176,-0.0258,-0.2214,0.1243,0
0.55,0.35,15,0.07,30,0.0241,3,-0.0194,-0.034,-0.2556,0.0975,0
0.62,0.35,15,0.07,30,0.024,3,-0.0212,-0.0361,-0.2678,0.0975,0
0.62,0.35,15,0.07,45,0.024,3,-0.0212,-0.0482,-0.2678,0.065,0
0.62,0.35,20,0.07,30,0.024,3,-0.0212,-0.0437,-0.285,0.0975,0
0.62,0.35,20,0.07,45,0.024,3,-0.0212,-0.0552,-0.285,0.065,0
0.62,0.35,25,0.07,30,0.024,3,-0.0212,-0.0354,-0.2072,0.0975,0
0.62,0.35,25,0.07,45,0.024,3,-0.0212,-0.0469,-0.2072,0.065,0
0.58,0.35,15,0.1,30,0.0234,3,-0.0267,-0.0388,-0.2475,0.0975,0
0.48,0.35,10,0.07,30,0.0232,3,-0.0282,-0.0219,-0.219,0.1559,0
0.48,0.42,15,0.1,45,0.0232,3,-0.0286,-0.0169,-0.2714,0.1843,0
0.52,0.35,25,0.1,30,0.0227,3,-0.0334,-0.0535,-0.2549,0.0873,0
0.48,0.42,25,0.12,45,0.0224,3,-0.0361,-0.0426,-0.2486,0.1303,0
0.58,0.42,20,0.1,30,0.0224,3,-0.0361,-0.0528,-0.2905,0.109,0
0.52,0.42,15,0.07,30,0.0221,3,-0.0391,-0.0471,-0.2959,0.1095,0
0.52,0.42,15,0.07,45,0.0221,3,-0.0391,-0.0364,-0.2959,0.1716,0
0.55,0.35,20,0.07,30,0.022,3,-0.04,-0.0565,-0.2817,0.0975,0
0.48,0.35,10,0.07,45,0.0219,3,-0.0413,-0.0356,-0.219,0.1216,0
0.55,0.3,10,0.07,45,0.0219,3,-0.0407,-0.051,-0.2217,0.065,0
0.55,0.3,15,0.07,45,0.0219,3,-0.0407,-0.0441,-0.2217,0.0961,0
0.55,0.3,20,0.07,45,0.0219,3,-0.0407,-0.0542,-0.2217,0.065,0
0.55,0.35,15,0.07,45,0.0219,3,-0.0407,-0.0363,-0.2556,0.0907,0
0.55,0.35,20,0.07,45,0.0219,3,-0.0407,-0.0589,-0.2817,0.065,0
0.62,0.42,20,0.1,45,0.0219,3,-0.0409,-0.0186,-0.2905,0.2376,0
0.58,0.35,10,0.1,30,0.0218,3,-0.0413,-0.0418,-0.2174,0.0975,0
0.48,0.4,15,0.1,45,0.0216,3,-0.0437,-0.0144,-0.2698,0.186,0
0.55,0.42,15,0.1,45,0.0216,3,-0.0435,-0.0231,-0.2184,0.2352,0
