Date,p_up_cpcv
2017-10-17,0.4987082985185009
2017-10-18,0.49338079664522516
2017-10-19,0.49785491248452163
2017-10-20,0.5552951069295828
2017-10-23,0.48956067387212726
2017-10-24,0.5245773851365351
2017-10-25,0.5232595450050814
2017-10-26,0.4712774762446804
2017-10-27,0.5816328665847709
2017-10-30,0.49833577898276216
2017-10-31,0.6098751596082276
2017-11-01,0.573109449502622
2017-11-02,0.6256248276709369
2017-11-03,0.6619823388238701
2017-11-06,0.7026319258039436
2017-11-07,0.6279111043990564
2017-11-08,0.6703438224356724
2017-11-09,0.6037423425381221
2017-11-10,0.48273745551445535
2017-11-13,0.60043504410722
2017-11-14,0.6132208503308856
2017-11-15,0.6765619864415019
2017-11-16,0.7004344712212409
2017-11-17,0.5814431599072125
2017-11-20,0.5624164046110991
2017-11-21,0.6240062441463646
2017-11-22,0.6060727024158915
2017-11-23,0.5626763640079427
2017-11-24,0.6176914646849505
2017-11-27,0.5724261899118285
2017-11-28,0.531579634864525
2017-11-29,0.5810439963273584
2017-11-30,0.6029652376835852
2017-12-01,0.6211283980928971
2017-12-04,0.6042484529026511
2017-12-05,0.6748520881504484
2017-12-06,0.6587813137642717
2017-12-07,0.6613171014064985
2017-12-08,0.62839917201223
2017-12-11,0.6494053271978155
2017-12-12,0.6533501137199198
2017-12-13,0.6307360641586215
2017-12-14,0.6268503383709498
2017-12-15,0.6427215785381515
2017-12-18,0.6151514238310146
2017-12-19,0.5963712151378247
2017-12-20,0.6168062996564011
2017-12-21,0.5895508668539569
2017-12-22,0.409427188242321
2017-12-25,0.409427188242321
2017-12-26,0.3339943452912618
2017-12-27,0.4440514121492848
2017-12-28,0.5306540211049048
2017-12-29,0.6006456255331238
2018-01-01,0.5998828824250285
2018-01-02,0.6205565293319258
2018-01-03,0.5970417283373075
2018-01-04,0.6001046068376863
2018-01-05,0.5769313619063363
2018-01-08,0.6224634478648852
2018-01-09,0.6219543769236604
2018-01-10,0.6224312325774025
2018-01-11,0.5946028049130757
2018-01-12,0.5639522649440081
2018-01-15,0.5737525922010132
2018-01-16,0.5732471314658242
2018-01-17,0.581355355950464
2018-01-18,0.4346437269308915
2018-01-19,0.5372333383468989
2018-01-22,0.523675351680809
2018-01-23,0.4482229837790449
2018-01-24,0.5681177411889291
2018-01-25,0.581355355950464
2018-01-26,0.5721421116868497
2018-01-29,0.6358032498243581
2018-01-30,0.4387202596347349
2018-01-31,0.642501311864689
2018-02-01,0.6191640170765504
2018-02-02,0.3649433444863911
2018-02-05,0.35226499487636265
2018-02-06,0.45674496995181757
2018-02-07,0.5631132372599924
2018-02-08,0.5450710146315284
2018-02-09,0.5797924770879848
2018-02-12,0.4990367456530942
2018-02-13,0.5160125707493216
2018-02-14,0.42444952931709085
2018-02-15,0.42444952931709085
2018-02-16,0.422416954911188
2018-02-19,0.4012795451147402
2018-02-20,0.4083408510026536
2018-02-21,0.4536601981739283
2018-02-22,0.5846129611841671
2018-02-23,0.5946608462937224
2018-02-26,0.5600399531206561
2018-02-27,0.38465132904625704
2018-02-28,0.5946608462937224
2018-03-01,0.6067797270696597
2018-03-02,0.6049348563475611
2018-03-05,0.5957824604926408
2018-03-06,0.6268193431533144
2018-03-07,0.5393133523238505
2018-03-08,0.6483787840168216
2018-03-09,0.6546995611572156
2018-03-12,0.6073100755258156
2018-03-13,0.6315952784280965
2018-03-14,0.6280488182922657
2018-03-15,0.6151543986387404
2018-03-16,0.6077028407949671
2018-03-19,0.6055097630350799
2018-03-20,0.6090335407740375
2018-03-21,0.5957824604926408
2018-03-22,0.6085442399239639
2018-03-23,0.5310523307586648
2018-03-26,0.49134718797515875
2018-03-27,0.5237795303098267
2018-03-28,0.6431852553472011
2018-03-29,0.6399378183516659
2018-03-30,0.6252129481117382
2018-04-02,0.5873062065597654
2018-04-03,0.5968398515445686
2018-04-04,0.569639599125078
2018-04-05,0.6318004037292356
2018-04-06,0.60344285602166
2018-04-09,0.695793704965817
2018-04-10,0.6655531148845328
2018-04-11,0.5766195014814048
2018-04-12,0.6238007633125185
2018-04-13,0.6494265250661482
2018-04-16,0.6933018225968468
2018-04-17,0.7412741202243016
2018-04-18,0.579926178100033
2018-04-19,0.608484805664323
2018-04-20,0.651534363159116
2018-04-23,0.5334058594892989
2018-04-24,0.5284426067937564
2018-04-25,0.4984510449619538
2018-04-26,0.5884903522690388
2018-04-27,0.4820580139873325
2018-04-30,0.38496288662417644
2018-05-01,0.5655078416836042
2018-05-02,0.4484715801593505
2018-05-03,0.49988134968212095
2018-05-04,0.5550364048636858
2018-05-07,0.5738640497867198
2018-05-08,0.48210354648843384
2018-05-09,0.621878421293662
2018-05-10,0.6693537422959834
2018-05-11,0.5971946378388183
2018-05-14,0.5761914398912479
2018-05-15,0.48709728712532446
2018-05-16,0.5962756177944051
2018-05-17,0.5180737881676148
2018-05-18,0.49835217117289493
2018-05-21,0.5572760053717418
2018-05-22,0.5182228491863625
2018-05-23,0.5607830509788161
2018-05-24,0.5436713869366265
2018-05-25,0.5881504113554302
2018-05-28,0.6011663101114083
2018-05-29,0.6023008243704101
2018-05-30,0.655157813843675
2018-05-31,0.6118073357055219
2018-06-01,0.6442845629735034
2018-06-04,0.6350909700911316
2018-06-05,0.6886249745828911
2018-06-06,0.6944393308618635
2018-06-07,0.6269843944736058
2018-06-08,0.6622066449904042
2018-06-11,0.6276312647467854
2018-06-12,0.6696242821099601
2018-06-13,0.6440527229611687
2018-06-14,0.5524475017193545
2018-06-15,0.5794684434788661
2018-06-18,0.6147746850725828
2018-06-19,0.5868703965908085
2018-06-20,0.5447615023947572
2018-06-21,0.562450866141669
2018-06-22,0.6771174242210958
2018-06-25,0.58675753459823
2018-06-26,0.6185620699229443
2018-06-27,0.6111216648544977
2018-06-28,0.626661532886321
2018-06-29,0.6013244832792382
2018-07-02,0.6803479899460018
2018-07-03,0.6168899154317782
2018-07-04,0.6291829319271874
2018-07-05,0.6428586794751461
2018-07-06,0.6277792789886114
2018-07-09,0.6133800464262574
2018-07-10,0.6298701685058186
2018-07-11,0.589532754084553
2018-07-12,0.5669109323624345
2018-07-13,0.6065957540551375
2018-07-16,0.6255963397361408
2018-07-17,0.6255963397361408
2018-07-18,0.6119720612614988
2018-07-19,0.5865604335580523
2018-07-20,0.598882220098847
2018-07-23,0.6259980630385875
2018-07-24,0.6172818221103461
2018-07-25,0.599607983644174
2018-07-26,0.6351564125766362
2018-07-27,0.6174353728177704
2018-07-30,0.5975353444368883
2018-07-31,0.6013556488518316
2018-08-01,0.6107295889567504
2018-08-02,0.626844800597678
2018-08-03,0.6161065608623167
2018-08-06,0.6107409234170514
2018-08-07,0.6105586464523288
2018-08-08,0.609619309218133
2018-08-09,0.6101578726136704
2018-08-10,0.6183269583241187
2018-08-13,0.6160317848077191
2018-08-14,0.5956145259802751
2018-08-15,0.6272346372433705
2018-08-16,0.6215994035910208
2018-08-17,0.6467202518444337
2018-08-20,0.6767836896541428
2018-08-21,0.6962296356636893
2018-08-22,0.7009498035759797
2018-08-23,0.6723111147917084
2018-08-24,0.6661908157123377
2018-08-27,0.6640717229412589
2018-08-28,0.6713454240797845
2018-08-29,0.6764341553190686
2018-08-30,0.6802117550255846
2018-08-31,0.673405356124109
2018-09-03,0.677695460188043
2018-09-04,0.7136362155901875
2018-09-05,0.6411682112162681
2018-09-06,0.6429157471950689
2018-09-07,0.6459809125130612
2018-09-10,0.664644029777045
2018-09-11,0.675837199111556
2018-09-12,0.671216441981435
2018-09-13,0.666109896569117
2018-09-14,0.6884727502147612
2018-09-17,0.6383148521202737
2018-09-18,0.6619405673731601
2018-09-19,0.6348905962340543
2018-09-20,0.61080605880604
2018-09-21,0.6333995434547389
2018-09-24,0.6176955528533662
2018-09-25,0.5939703905531653
2018-09-26,0.5948464030557552
2018-09-27,0.617145554945447
2018-09-28,0.4069985981412384
